,title,id,vote_count,vote_average,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
0,Avatar,19995,11800,7.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,Pirates of the Caribbean: At World's End,285,4500,6.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,Spectre,206647,4466,6.3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,The Dark Knight Rises,49026,9106,7.6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,John Carter,49529,2124,6.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,Spider-Man 3,559,3576,5.9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,Tangled,38757,3330,7.4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Avengers: Age of Ultron,99861,6767,7.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Harry Potter and the Half-Blood Prince,767,5293,7.4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,Batman v Superman: Dawn of Justice,209112,7004,5.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Superman Returns,1452,1400,5.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11,Quantum of Solace,10764,2965,6.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,Pirates of the Caribbean: Dead Man's Chest,58,5246,7.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,The Lone Ranger,57201,2311,5.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Man of Steel,49521,6359,6.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
15,The Chronicles of Narnia: Prince Caspian,2454,1630,6.3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16,The Avengers,24428,11776,7.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,Pirates of the Caribbean: On Stranger Tides,1865,4948,6.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,Men in Black 3,41154,4160,6.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,The Hobbit: The Battle of the Five Armies,122917,4760,7.1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,The Amazing Spider-Man,1930,6586,6.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,Robin Hood,20662,1398,6.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,The Hobbit: The Desolation of Smaug,57158,4524,7.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,The Golden Compass,2268,1303,5.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,King Kong,254,2337,6.6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Titanic,597,7562,7.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
26,Captain America: Civil War,271110,7241,7.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Battleship,44833,2114,5.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
28,Jurassic World,135397,8662,6.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
29,Skyfall,37724,7604,6.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,Spider-Man 2,558,4321,6.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Iron Man 3,68721,8806,6.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,Alice in Wonderland,12155,4645,6.4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
33,X-Men: The Last Stand,36668,3525,6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,Monsters University,62211,3528,7.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,Transformers: Revenge of the Fallen,8373,3138,6.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36,Transformers: Age of Extinction,91314,3095,5.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,Oz: The Great and Powerful,68728,3530,5.7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38,The Amazing Spider-Man 2,102382,4179,6.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,TRON: Legacy,20526,2841,6.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,Cars 2,49013,2033,5.8,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Green Lantern,44912,2487,5.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
42,Toy Story 3,10193,4597,7.6,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,Terminator Salvation,534,2463,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
44,Furious 7,168259,4176,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,World War Z,72190,5560,6.7,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
46,X-Men: Days of Future Past,127585,6032,7.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47,Star Trek Into Darkness,54138,4418,7.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,Jack the Giant Slayer,81005,2598,5.5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
49,The Great Gatsby,64682,3769,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
50,Prince of Persia: The Sands of Time,9543,2317,6.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
51,Pacific Rim,68726,4794,6.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,Transformers: Dark of the Moon,38356,3299,6.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,Indiana Jones and the Kingdom of the Crystal Skull,217,2495,5.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,The Good Dinosaur,105864,1736,6.6,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,Brave,62177,4641,6.7,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
56,Star Trek Beyond,188927,2568,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
57,WALL·E,10681,6296,7.8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
58,Rush Hour 3,5174,783,6.1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
59,2012,14161,4903,5.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60,A Christmas Carol,17979,1095,6.6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Jupiter Ascending,76757,2768,5.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
62,The Legend of Tarzan,258489,2430,5.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",411,2629,6.7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
64,X-Men: Apocalypse,246655,4721,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,The Dark Knight,155,12002,8.2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
66,Up,14160,6870,7.7,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,Monsters vs Aliens,15512,1423,6.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
68,Iron Man,1726,8776,7.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,Hugo,44826,2141,7.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,Wild Wild West,8487,1020,5.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
71,The Mummy: Tomb of the Dragon Emperor,1735,1387,5.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,Suicide Squad,297761,7458,5.9,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
73,Evan Almighty,2698,1151,5.3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
74,Edge of Tomorrow,137113,4858,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,Waterworld,9804,992,5.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,G.I. Joe: The Rise of Cobra,14869,1962,5.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
77,Inside Out,150540,6560,8.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78,The Jungle Book,278927,2892,6.7,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
79,Iron Man 2,10138,6849,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,Snow White and the Huntsman,58595,3118,5.8,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
81,Maleficent,102651,4496,7.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
82,Dawn of the Planet of the Apes,119450,4410,7.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
83,The Lovers,79698,34,4.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
84,47 Ronin,64686,1326,5.9,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
85,Captain America: The Winter Soldier,100402,5764,7.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,Shrek Forever After,10192,1959,6.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
87,Tomorrowland,158852,2846,6.2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
88,Big Hero 6,177572,6135,7.8,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
89,Wreck-It Ralph,82690,4570,7.1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,The Polar Express,5255,1474,6.4,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
91,Independence Day: Resurgence,47933,2491,4.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,How to Train Your Dragon,10191,4227,7.5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
93,Terminator 3: Rise of the Machines,296,2143,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
94,Guardians of the Galaxy,118340,9742,7.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,Interstellar,157336,10867,8.1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
96,Inception,27205,13752,8.1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
97,Shin Godzilla,315011,143,6.5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
98,The Hobbit: An Unexpected Journey,49051,8297,7.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
99,The Fast and the Furious,9799,3428,6.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100,The Curious Case of Benjamin Button,4922,3292,7.3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
101,X-Men: First Class,49538,5181,7.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,The Hunger Games: Mockingjay - Part 2,131634,3984,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,The Sorcerer's Apprentice,27022,1470,5.8,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
104,Poseidon,503,583,5.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
105,Alice Through the Looking Glass,241259,1725,6.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,Shrek the Third,810,2278,6.0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
107,Warcraft,68735,2268,6.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,Terminator Genisys,87101,3631,5.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,10140,1514,6.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
110,Pearl Harbor,676,1791,6.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
111,Transformers,1858,4040,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
112,Alexander,1966,927,5.6,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
113,Harry Potter and the Order of the Phoenix,675,5494,7.4,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
114,Harry Potter and the Goblet of Fire,674,5608,7.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
115,Hancock,8960,2961,6.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
116,I Am Legend,6479,4853,6.9,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
117,Charlie and the Chocolate Factory,118,3624,6.7,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
118,Ratatouille,2062,4369,7.5,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
119,Batman Begins,272,7359,7.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Madagascar: Escape 2 Africa,10527,1810,6.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
121,Night at the Museum: Battle of the Smithsonian,18360,1971,5.9,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
122,X-Men Origins: Wolverine,2080,4021,6.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
123,The Matrix Revolutions,605,3096,6.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
124,Frozen,109445,5295,7.3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
125,The Matrix Reloaded,604,3443,6.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
126,Thor: The Dark World,76338,4755,6.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,Mad Max: Fury Road,76341,9427,7.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
128,Angels & Demons,13448,2129,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
129,Thor,10195,6525,6.6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,Bolt,13053,1750,6.3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,G-Force,19585,510,5.1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
132,Wrath of the Titans,57165,1431,5.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Dark Shadows,62213,2320,5.7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
134,Mission: Impossible - Rogue Nation,177677,3224,7.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135,The Wolfman,7978,549,5.5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
136,Bee Movie,5559,1171,5.7,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
137,Kung Fu Panda 2,49444,1880,6.7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
138,The Last Airbender,10196,1151,4.7,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
139,Mission: Impossible III,956,2028,6.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,White House Down,117251,1891,6.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
141,Mars Needs Moms,50321,199,5.5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
142,Flushed Away,11619,874,6.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
143,Pan,266647,954,5.9,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
144,Mr. Peabody & Sherman,82703,843,6.7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,Troy,652,2759,6.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
146,Madagascar 3: Europe's Most Wanted,80321,1808,6.4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
147,Die Another Day,36669,1092,5.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
148,Ghostbusters,43074,2142,5.3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
149,Armageddon,95,2482,6.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
150,Men in Black II,608,3114,6.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151,Beowulf,2310,841,5.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Kung Fu Panda 3,140300,1603,6.7,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
153,Mission: Impossible - Ghost Protocol,56292,3972,6.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,Rise of the Guardians,81188,1922,7.1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
155,Fun with Dick and Jane,7552,627,5.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,The Last Samurai,616,1895,7.3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
157,Exodus: Gods and Kings,147441,1921,5.6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Star Trek,13475,4518,7.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
159,Spider-Man,557,5265,6.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
160,How to Train Your Dragon 2,82702,3106,7.6,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
161,Gods of Egypt,205584,1277,5.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
162,Stealth,10048,331,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Watchmen,13183,2811,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
164,Lethal Weapon 4,944,767,6.3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165,Hulk,1927,1533,5.3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
166,G.I. Joe: Retaliation,72559,3025,5.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
167,Sahara,7364,434,5.7,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
168,Final Fantasy: The Spirits Within,2114,433,5.9,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
169,Captain America: The First Avenger,1771,7047,6.6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
170,The World Is Not Enough,36643,862,6.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,Master and Commander: The Far Side of the World,8619,790,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,The Twilight Saga: Breaking Dawn - Part 2,50620,2553,6.1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
173,Happy Feet Two,65759,373,5.8,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
174,The Incredible Hulk,1724,3021,6.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
175,The BFG,267935,1000,6.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
176,The Revenant,281957,6396,7.3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
177,Turbo,77950,1074,6.1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
178,Rango,44896,2051,6.6,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
179,Penguins of Madagascar,270946,1346,6.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
180,The Bourne Ultimatum,2503,2888,7.3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
181,Kung Fu Panda,9502,3145,6.9,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
182,Ant-Man,102899,5880,7.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,The Hunger Games: Catching Fire,101299,6495,7.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
184,Home,228161,1519,6.8,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
185,War of the Worlds,74,2322,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
186,Bad Boys II,8961,1564,6.3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
187,Puss in Boots,417859,451,6.4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
188,Salt,27576,2093,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
189,Noah,86834,2350,5.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190,The Adventures of Tintin,17578,2061,6.7,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
191,Harry Potter and the Prisoner of Azkaban,673,5877,7.7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
192,Australia,6972,694,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193,After Earth,82700,2532,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
194,Dinosaur,10567,542,6.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
195,Night at the Museum: Secret of the Tomb,181533,1851,6.1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
196,Megamind,38055,1918,6.7,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
197,Harry Potter and the Philosopher's Stone,671,7006,7.5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
198,R.I.P.D.,49524,1260,5.4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
199,Pirates of the Caribbean: The Curse of the Black Pearl,22,6985,7.5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200,The Hunger Games: Mockingjay - Part 1,131631,5584,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
201,The Da Vinci Code,591,2704,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
202,Rio 2,172385,978,6.3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
203,X2,36658,3506,6.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
204,Fast Five,51497,2438,7.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
205,Sherlock Holmes: A Game of Shadows,58574,3886,7.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
206,Clash of the Titans,18823,2233,5.6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
207,Total Recall,861,1710,7.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
208,The 13th Warrior,1911,510,6.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
209,The Bourne Legacy,49040,2651,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210,Batman & Robin,415,1418,4.2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
211,How the Grinch Stole Christmas,8871,1386,6.2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
